Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-09-03 06:16:29,false,"York Running","6.01","605","01:10:03","147","163","167","179","11:40","7:12","325","335","0.83","0.0","0.0","0.0","0.0","0.0","1:10:03","0:00","0.0","0:00","No","00:03.72","7","0.0"
Running,2020-09-01 07:21:58,false,"York Running","3.00","312","00:34:20","151","162","166","177","11:28","7:17","74","68","0.84","0.0","0.0","0.0","0.0","0.0","34:20","0:00","0.0","0:00","No","11:11.93","3","0.0"
Running,2020-08-31 08:01:05,false,"York Running","5.01","495","00:56:44","148","159","167","179","11:19","9:25","56","30","0.85","0.0","0.0","0.0","0.0","0.0","56:44","0:00","0.0","0:00","No","00:07.73","6","0.0"
Running,2020-08-30 07:50:19,false,"York Running","3.00","288","00:34:23","142","156","166","176","11:27","6:27","44","33","0.85","0.0","0.0","0.0","0.0","0.0","34:23","0:00","0.0","0:00","No","00:03.59","4","0.0"
Running,2020-08-28 06:42:12,false,"York Running","3.91","381","00:41:43","153","166","165","178","10:40","2:42","450","448","0.91","0.0","0.0","0.0","0.0","0.0","41:43","0:00","0.0","0:00","No","09:34.34","4","0.0"
Running,2020-08-26 17:13:27,false,"York Running","3.01","311","00:34:13","153","169","160","233","11:23","7:27","28","10","0.88","0.0","0.0","0.0","0.0","0.0","34:13","0:00","0.0","0:00","No","00:03.42","4","0.0"
Running,2020-08-23 07:45:36,false,"York Running","3.01","307","00:33:08","155","180","168","180","11:01","8:41","31","27","0.87","0.0","0.0","0.0","0.0","0.0","33:08","0:00","0.0","0:00","No","00:04.88","4","0.0"
Running,2020-08-22 06:13:29,false,"York Running","3.01","305","00:34:09","150","166","168","177","11:21","2:46","79","77","0.84","0.0","0.0","0.0","0.0","0.0","34:09","0:00","0.0","0:00","No","00:05.14","4","0.0"
Running,2020-07-27 16:07:44,false,"York Running","3.95","409","00:45:28","151","164","165","178","11:30","4:55","42","24","0.85","0.0","0.0","0.0","0.0","0.0","45:28","0:00","0.0","0:00","No","10:37.17","4","0.0"
Running,2020-07-22 16:17:49,false,"York Running","5.97","610","01:09:03","150","164","163","244","11:34","5:29","54","53","0.85","0.0","0.0","0.0","0.0","0.0","1:09:03","0:00","0.0","0:00","No","10:46.32","6","0.0"
Running,2020-07-19 07:45:00,false,"York Running","10.00","951","02:03:26","143","163","163","177","12:20","9:25","170","130","0.80","0.0","0.0","0.0","0.0","0.0","2:03:26","0:00","0.0","0:00","No","00:02.92","11","0.0"
Running,2020-07-15 16:08:05,false,"York Running","6.00","646","01:08:44","154","165","166","180","11:28","3:45","57","55","0.85","0.0","0.0","0.0","0.0","0.0","1:08:44","0:00","0.0","0:00","No","11:03.68","6","0.0"
Running,2020-07-13 16:04:47,false,"York Running","3.00","307","00:33:32","148","168","164","184","11:10","6:02","43","41","0.88","0.0","0.0","0.0","0.0","0.0","33:32","0:00","0.0","0:00","No","00:01.66","4","0.0"
Running,2020-07-12 07:33:25,false,"York Running","7.98","772","01:31:32","145","158","165","180","11:28","8:10","199","191","0.85","0.0","0.0","0.0","0.0","0.0","1:31:32","0:00","0.0","0:00","No","10:28.13","8","0.0"
Running,2020-07-10 07:03:04,false,"York Running","4.09","403","00:47:07","142","158","167","177","11:30","5:43","55","21","0.84","0.0","0.0","0.0","0.0","0.0","47:07","0:00","0.0","0:00","No","00:56.34","5","0.0"
Running,2020-07-07 07:47:49,false,"Fylde Running","3.87","383","00:45:51","141","157","166","179","11:50","8:20","62","59","0.82","0.0","0.0","0.0","0.0","0.0","45:51","0:00","0.0","0:00","No","10:05.12","4","0.0"
Running,2020-07-02 10:47:50,false,"York Running","6.00","605","01:08:26","147","159","165","182","11:24","6:46","63","42","0.86","0.0","0.0","0.0","0.0","0.0","1:08:26","0:00","0.0","0:00","No","10:54.38","6","0.0"
Running,2020-06-29 15:37:03,false,"York Running","3.00","306","00:34:15","147","166","164","179","11:24","9:11","211","189","0.86","0.0","0.0","0.0","0.0","0.0","34:15","0:00","0.0","0:00","No","00:02.94","4","0.0"
Running,2020-06-28 11:23:38,false,"York Running","4.99","543","00:57:17","154","164","165","182","11:29","5:40","49","57","0.85","0.0","0.0","0.0","0.0","0.0","57:17","0:00","0.0","0:00","No","10:58.66","5","0.0"
Running,2020-06-22 16:07:30,false,"York Running","3.02","305","00:32:55","149","164","165","181","10:54","5:55","33","37","0.89","0.0","0.0","0.0","0.0","0.0","32:55","0:00","0.0","0:00","No","00:11.72","4","0.0"
Running,2020-06-21 07:19:36,false,"York Running","7.07","632","01:22:02","139","157","167","181","11:36","5:59","2,628","2,597","0.83","0.0","0.0","0.0","0.0","0.0","1:22:02","0:00","0.0","0:00","No","00:44.97","8","0.0"
Running,2020-06-19 12:29:47,false,"York Running","5.98","608","01:07:16","149","161","164","180","11:15","4:00","42","41","0.87","0.0","0.0","0.0","0.0","0.0","1:07:16","0:00","0.0","0:00","No","10:22.78","6","0.0"
Running,2020-06-16 16:13:06,false,"York Running","2.93","302","00:33:15","147","160","165","176","11:22","4:53","42","42","0.86","0.0","0.0","0.0","0.0","0.0","33:15","0:00","0.0","0:00","No","10:15.35","3","0.0"
Running,2020-06-15 16:06:09,false,"York Running","3.92","398","00:45:33","145","163","159","179","11:38","5:40","48","35","0.87","0.0","0.0","0.0","0.0","0.0","45:33","0:00","0.0","0:00","No","10:02.48","4","0.0"
Running,2020-06-13 06:52:36,false,"York Running","10.01","892","01:56:41","141","157","166","182","11:40","3:39","165","162","0.83","0.0","0.0","0.0","0.0","0.0","1:56:41","0:00","0.0","0:00","No","00:04.49","11","0.0"
Running,2020-06-11 16:08:53,false,"York Running","5.01","500","00:56:35","149","163","166","178","11:18","6:30","81","67","0.86","0.0","0.0","0.0","0.0","0.0","56:35","0:00","0.0","0:00","No","00:04.04","6","0.0"
Running,2020-06-09 15:56:06,false,"York Running","3.01","283","00:32:47","146","168","165","179","10:54","5:39","36","36","0.89","0.0","0.0","0.0","0.0","0.0","32:47","0:00","0.0","0:00","No","00:09.79","4","0.0"
Running,2020-06-08 16:14:54,false,"York Running","4.01","411","00:46:49","148","161","164","177","11:41","6:42","48","35","0.84","0.0","0.0","0.0","0.0","0.0","46:49","0:00","0.0","0:00","No","00:06.03","5","0.0"
Running,2020-06-06 07:58:36,false,"York Running","10.01","1,005","01:59:40","148","163","168","184","11:57","4:32","267","252","0.80","0.0","0.0","0.0","0.0","0.0","1:59:40","0:00","0.0","0:00","No","00:03.90","11","0.0"
Running,2020-06-04 16:13:04,false,"York Running","2.97","298","00:33:49","146","160","164","179","11:23","5:01","38","38","0.86","0.0","0.0","0.0","0.0","0.0","33:49","0:00","0.0","0:00","No","10:44.28","3","0.0"
Running,2020-06-03 16:10:39,false,"York Running","3.99","405","00:45:32","147","161","166","177","11:25","3:50","56","45","0.85","0.0","0.0","0.0","0.0","0.0","45:32","0:00","0.0","0:00","No","11:02.54","4","0.0"
